brooklyn_rank,start_station_id,start_station_name,lat,lon,capacity,trip_count,avg_duration_min,member_pct,trips_per_dock
517,3668.04,21 St & 4 Ave,40.662584,-73.995554,21,1014,11.23,88.7,48.3
518,4648.03,Malcolm X Blvd & DeKalb Ave,40.6938,-73.93114,20,1013,14.09,78.9,50.7
519,3882.01,12 St & 4 Ave,40.668603,-73.9904394,25,1012,11.12,86.1,40.5
520,3887.03,Carroll St & Washington Ave,40.6686744,-73.9618148,27,1011,10.54,89.1,37.4
521,3791.02,Albany Ave & Carroll St,40.6667,-73.93972,19,1007,10.89,89.4,53.0
522,4383.06,Hancock St & Stuyvesant Ave,40.68454,-73.9322,19,1004,9.68,85.1,52.8
523,4700.06,Park Ave & St Edwards St,40.69608941,-73.97803415,53,999,11.45,86.3,18.8
524,4707.04,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,23,990,16.05,83.3,43.0
525,4987.06,White St & Moore St,40.704508,-73.9351,21,989,11.79,87.9,47.1
526,4979.07,Knickerbocker Ave & George St,40.704425,-73.92836,23,986,13.13,87.3,42.9
527,4587.02,Willoughby St & Ashland Pl,40.69178,-73.97877,31,978,9.94,87.9,31.5
528,3593.01,Maple St & Flatbush Ave,40.66026,-73.96045,24,975,11.24,83.2,40.6
529,3439.03,Bedford Ave & Clarkson Ave,40.65519,-73.9564,19,968,13.01,84.9,50.9
530,4697.01,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,21,962,13.17,81.1,45.8
530,4310.06,Macon St & Lewis Ave,40.68282,-73.93488,20,962,12.96,81.9,48.1
532,3704.01,Washington Ave & Empire Blvd,40.66314,-73.9605695,27,959,9.79,89.1,35.5
533,4483.10,Broadway & Madison St,40.68822,-73.91966,25,956,12.07,82.5,38.2
534,4467.03,Monroe St & Marcus Garvey Blvd,40.686722,-73.938988,20,953,11.78,82.4,47.7
535,3368.04,Caton Ave & Bedford Ave,40.65237,-73.95623,22,951,13.71,80.1,43.2
536,3943.03,St Johns Pl & Kingston Ave,40.67113,-73.94222,22,947,10.11,86.8,43.0
537,4560.01,Madison St & Evergreen Ave,40.69122,-73.91693,18,935,10.06,82.9,51.9
538,4632.10,Central Ave & Woodbine St,40.69296,-73.91605,18,920,10.31,77.9,51.1
539,3588.01,7 Ave & 20 St,40.659053,-73.98854,20,915,8.63,89.7,45.8
540,4751.01,Cedar St & Myrtle Ave,40.697842,-73.926241,27,914,13.1,73.5,33.9
541,3507.04,Prospect Park W & 20 St,40.656633,-73.983864,25,905,10.0,90.8,36.2
541,5170.01,Stagg St & Morgan Ave,40.710681,-73.93372,23,905,13.08,82.4,39.3
543,5025.02,Madison St & Forest Ave,40.70555,-73.90245,25,903,13.12,83.3,36.1
544,5066.03,Fairview Ave & Linden St,40.70694,-73.90632,19,888,10.13,81.5,46.7
545,3480.04,Parkside Ave & Flatbush Ave,40.65563,-73.95968,25,881,12.45,82.6,35.2
546,4205.06,Kingston Ave & Herkimer St,40.67890679,-73.94142771,24,880,11.71,82.2,36.7
547,3862.07,Eastern Pkwy & Troy Ave,40.66929,-73.93679,24,877,9.28,88.4,36.5
548,3776.05,Montgomery St & Franklin Ave,40.666439306870814,-73.9605563879013,19,871,11.39,85.0,45.8
549,4906.07,George St & Wilson Ave,40.702997,-73.92997,19,869,11.08,86.1,45.7
550,4169.04,Pioneer St & Van Brunt St,40.679043,-74.011169,39,868,14.4,86.5,22.3
551,5115.01,Onderdonk Ave & Dekalb Ave,40.70863,-73.91497,17,858,10.51,85.5,50.5
552,4517.03,Jefferson Ave & Evergreen Ave,40.68989,-73.91458,17,856,10.13,84.2,50.4
553,5332.10,Jackson St & Leonard St,40.71638031973561,-73.94821286201477,22,853,10.21,91.3,38.8
554,4856.05,Irving Ave & Harman St,40.70108,-73.9179,21,852,11.15,78.2,40.6
554,4110.10,3 St & Hoyt St,40.6777287,-73.99364123,53,852,10.07,87.9,16.1
556,4832.07,Central Ave & Melrose St,40.70112,-73.93039,17,848,12.05,81.8,49.9
556,4680.05,Bushwick Ave & Dekalb Ave,40.69502,-73.92825,29,848,15.44,78.9,29.2
558,3240.15,Fort Hamilton Pkwy & E 5 St,40.649037,-73.97673,23,845,11.02,91.1,36.7
559,4500.07,Lexington Ave & Stuyvesant Ave,40.68973,-73.93353,20,842,13.31,71.5,42.1
560,3460.02,36 St & 3 Ave,40.655716,-74.006664,30,841,14.47,88.2,28.0
561,3893.03,Eastern Pkwy & Schenectady Ave,40.66876,-73.93376,24,839,11.32,83.2,35.0
562,5018.06,Knickerbocker Ave & Thames St,40.70539,-73.92976,20,838,13.64,81.6,41.9
562,4342.04,Hancock St & Malcolm X Blvd,40.68487,-73.9293,19,838,11.44,75.1,44.1
564,3376.02,Parade Pl & Crooke Ave,40.651847,-73.965248,30,835,12.43,76.6,27.8
565,4898.02,Irving Ave & DeKalb Ave,40.7027,-73.92095,27,834,12.78,79.5,30.9
566,4971.01,Hart St & Wyckoff Ave,40.704876,-73.919911,24,832,10.89,84.5,34.7
567,3850.03,3 Ave & 14 St,40.6685455,-73.99333264,25,830,12.49,88.6,33.2
568,3385.06,Prospect Park SW & Greenwood Ave,40.652563,-73.972573,30,828,12.99,81.9,27.6
569,4663.02,Knickerbocker Ave & Hancock St,40.69385,-73.90974,22,824,10.38,79.5,37.5
570,4807.02,Madison St & Cypress Ave,40.70068,-73.90742,17,821,11.79,87.5,48.3
571,3759.07,Kingston Ave & Montgomery St,40.66481,-73.94269,19,815,8.62,91.2,42.9
572,5983.04,43 St & 50 Ave,40.73787237950538,-73.92264068126678,19,814,12.83,84.9,42.8
572,4689.08,Stuyvesant Ave & Hart St,40.69465,-73.9343,27,814,12.32,74.3,30.1
574,4507.07,Wilson Ave & Moffat St,40.68906,-73.90506,32,812,10.7,80.9,25.4
575,3696.05,Rogers Ave & Sterling St,40.6630619,-73.9538746,17,794,11.71,84.6,46.7
576,5034.03,Menahan St & Onderdonk Ave,40.70553,-73.9096,20,793,10.88,85.6,39.7
577,4237.02,Albany Ave & Fulton St,40.6800105,-73.938475,27,786,13.12,81.7,29.1
578,5082.08,Jefferson St & Cypress Ave,40.70907,-73.92157,25,785,13.39,78.9,31.4
579,4441.06,Broadway & Hancock St,40.68661064950837,-73.91683218964889,35,784,12.58,77.9,22.4
580,4756.04,Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,31,783,17.64,68.2,25.3
580,3847.04,Carroll St & Franklin Ave,40.6679411,-73.9588,19,783,11.3,86.6,41.2
582,3811.05,16 St & 4 Ave,40.666197,-73.992466,30,780,10.8,90.6,26.0
583,4285.09,Rockaway Ave & Bainbridge St,40.68319988172761,-73.91166642308235,25,777,11.96,78.6,31.1
583,4422.05,Columbia St & Kane St,40.68763155,-74.0016256,20,777,11.34,84.3,38.9
585,3940.04,Sigourney St & Columbia St,40.67267243410948,-74.0087952464819,21,773,14.58,86.0,36.8
