geoid,borough,centroid_lat,centroid_lon,population,median_income,no_vehicle_pct,transit_commute_pct,bike_commute_pct,has_citibike,coverage_status
36005039200,Bronx,40.883288478440065,-73.86473807373643,1758.0,61458.0,43.7,52.1,0.0,0,Gap Zone
36005023600,Bronx,40.84509078239454,-73.86725834158113,1714.0,73152.0,47.9,48.6,1.6,0,Gap Zone
36005034200,Bronx,40.86841654706085,-73.86002546041703,1639.0,67809.0,29.4,53.9,0.0,0,Gap Zone
36005045101,Bronx,40.89745447208707,-73.86431368985883,1541.0,73021.0,46.0,34.4,0.0,0,Gap Zone
36005025600,Bronx,40.844391137329374,-73.85021895659297,1541.0,51053.0,32.6,46.2,0.0,0,Gap Zone
36005015800,Bronx,40.82486725556281,-73.81861825013476,1461.0,70357.0,38.1,32.2,0.0,0,Gap Zone
36005004001,Bronx,40.82827191338203,-73.85833548161938,1409.0,70536.0,31.8,50.7,0.0,0,Gap Zone
36005033602,Bronx,40.87058202423555,-73.86888370071162,1269.0,58947.0,35.1,81.8,0.0,0,Gap Zone
36005013000,Bronx,40.819305490269066,-73.81474856614989,1262.0,59083.0,30.7,13.4,0.0,0,Gap Zone
36005003800,Bronx,40.82029461146447,-73.86334346753732,1182.0,88077.0,23.2,45.9,0.0,0,Gap Zone
36005043501,Bronx,40.88663863296817,-73.86648372872835,1083.0,26523.0,78.0,55.7,0.0,0,Gap Zone
36005016400,Bronx,40.832202513388246,-73.82484696546118,1029.0,66912.0,28.2,29.6,0.0,0,Gap Zone
36005028600,Bronx,40.849184916955,-73.84777516413688,950.0,87917.0,15.5,24.1,0.0,0,Gap Zone
36005031900,Bronx,40.914043092789676,-73.91098060245761,773.0,-666666666.0,,14.1,0.0,0,Gap Zone
36005028400,Bronx,40.84943673055673,-73.83869021954817,517.0,-666666666.0,,0.0,0.0,0,Gap Zone
36005009302,Bronx,40.80422391095602,-73.88524535375268,463.0,-666666666.0,,,,0,Gap Zone
36005027600,Bronx,40.854540758373155,-73.81978552296039,57.0,-666666666.0,87.0,33.3,0.0,0,Gap Zone
36005033400,Bronx,40.85782795783151,-73.87549272300242,38.0,-666666666.0,100.0,70.0,0.0,0,Gap Zone
36005043503,Bronx,40.89699784018387,-73.88659252796566,16.0,88438.0,38.5,30.8,0.0,0,Gap Zone
36005023900,Bronx,40.858913371792035,-73.90286817528565,9197.0,46927.0,78.9,79.5,0.0,1,Covered
36005022500,Bronx,40.840139939644,-73.91097199533326,9093.0,52834.0,67.4,68.3,0.0,1,Covered
36005039300,Bronx,40.85249763186317,-73.88314367079167,8678.0,31107.0,78.2,68.2,1.07,1,Covered
36005018900,Bronx,40.83172308880667,-73.93020722660032,8460.0,45770.0,76.4,69.2,0.0,1,Covered
36005041300,Bronx,40.874094601519985,-73.88519716300462,8232.0,62386.0,59.9,60.3,2.08,1,Covered
36005026702,Bronx,40.8722663969109,-73.90011900726917,7869.0,65500.0,59.0,59.4,0.0,1,Covered
36005019700,Bronx,40.835205060752514,-73.91997777945566,7830.0,34871.0,83.3,78.0,0.0,1,Covered
36005038100,Bronx,40.852011406114926,-73.90115616393604,7644.0,36722.0,70.0,82.4,0.0,1,Covered
36005027900,Bronx,40.88255860777359,-73.89728805701601,7635.0,57129.0,51.4,55.5,0.0,1,Covered
36005019900,Bronx,40.8367437285324,-73.92544700733274,7496.0,35139.0,72.4,68.0,0.0,1,Covered
36005027300,Bronx,40.87389833867243,-73.90322882830809,7410.0,54396.0,69.9,59.9,0.0,1,Covered
36005025500,Bronx,40.86053515845323,-73.90894046241073,7275.0,39231.0,73.8,70.8,0.0,1,Covered
36005020501,Bronx,40.847412859910165,-73.92365619099155,7271.0,17056.0,81.9,63.1,0.0,1,Covered
36005026500,Bronx,40.86622341061427,-73.90024117670518,7240.0,57900.0,65.4,61.8,0.0,1,Covered
36005039100,Bronx,40.853119725228524,-73.88712342843378,7187.0,31769.0,66.7,47.2,2.75,1,Covered
36005019500,Bronx,40.83047747168685,-73.92252348360918,7143.0,33412.0,90.1,66.8,0.87,1,Covered
36005014100,Bronx,40.82376531005873,-73.91229498767606,7133.0,35506.0,78.4,58.6,0.0,1,Covered
36005006900,Bronx,40.82186656146813,-73.91575672521525,7118.0,29627.0,71.0,68.4,1.22,1,Covered
36005007900,Bronx,40.81579207128002,-73.90487127667153,7086.0,34604.0,82.8,61.9,0.0,1,Covered
36005040702,Bronx,40.869144446324,-73.88699723589689,7046.0,34724.0,67.6,57.2,0.0,1,Covered
36005021502,Bronx,40.8480443632381,-73.91671037651159,6986.0,19904.0,65.6,73.4,0.0,1,Covered
36005026300,Bronx,40.86476654624608,-73.9044668159336,6904.0,37361.0,73.1,71.2,0.0,1,Covered
36005006700,Bronx,40.81950228017369,-73.9181767498001,6777.0,17390.0,86.2,76.7,2.55,1,Covered
36005008700,Bronx,40.81967198915408,-73.89728469904635,6677.0,36402.0,68.8,67.1,1.82,1,Covered
36005007500,Bronx,40.81877687385489,-73.90862371319145,6670.0,34484.0,73.7,58.5,0.0,1,Covered
36005025100,Bronx,40.8565412273307,-73.9077335744686,6601.0,44845.0,69.0,50.6,0.0,1,Covered
36005036300,Bronx,40.8445438272299,-73.8827575994753,6601.0,26524.0,82.4,62.5,0.0,1,Covered
36005040502,Bronx,40.86587799819692,-73.88896128594556,6590.0,39486.0,66.7,57.1,0.0,1,Covered
