station_id,station_name,borough,lat,lon,capacity,total_trips,avg_duration_min,member_trips,member_pct,trips_per_dock
454fe70c-1d53-4af2-a9ea-1d4bd9f59799,Jerome Ave & E 198 St,Bronx,40.87144520687118,-73.89289632439613,20,81,15.28,53,65.4,4.05
1861681959015615218,Van Cortlandt Park S & Dickinson Ave,Bronx,40.88435,-73.88781,25,79,17.39,51,64.6,3.16
1862788202397235246,Bailey Ave & W 229 St,Bronx,40.87449,-73.90467,21,78,22.79,65,83.3,3.71
1875415144760576328,Naples Terrace & Godwin Terrace,Bronx,40.87995,-73.90536,25,73,22.96,45,61.6,2.92
1864606193814670106,Van Cortlandt Park S & Gouverneur Ave,Bronx,40.88492,-73.89084,25,71,16.95,50,70.4,2.84
1875433315773395778,Southern Blvd & Xavier Way,Bronx,40.86149,-73.88103,31,71,15.29,51,71.8,2.29
44c23eaa-7ddf-40b3-8373-6f3880c5e1b1,Washington Ave & E 174 St,Bronx,40.843079,-73.900216,19,68,12.19,56,82.4,3.58
1871972060496771504,Claflin Ave & Reservoir Ave,Bronx,40.87398,-73.89943,19,66,12.96,51,77.3,3.47
754ac5df-f2b5-4636-8c58-ed84ea262bde,Bailey Ave & Sedgwick Ave,Bronx,40.86571,-73.90857,20,64,9.51,50,78.1,3.2
672d71ab-2c23-4bd2-9ed2-34e54aa4b5b5,Decatur Ave & E 197 St,Bronx,40.86557,-73.88807,19,63,10.35,51,81.0,3.32
3fed8016-0be0-47f5-8663-2e850ec47288,Bailey Ave & W 193 St,Bronx,40.87069,-73.90678,23,62,14.87,36,58.1,2.7
4d674595-187c-417c-a691-676c4446c9fc,Southern Blvd & E 142 St,Bronx,40.807347437082,-73.90809774398804,23,60,12.16,49,81.7,2.61
4775fd25-2240-44d7-884a-d777d15a9b5e,Longfellow Ave & E 165 St,Bronx,40.825322,-73.887729,21,54,17.27,46,85.2,2.57
8f672aa7-08a1-4fe2-a471-06f219c0eb1b,Walnut Ave & E 136 St,Bronx,40.801657,-73.909513,17,54,14.48,41,75.9,3.18
dadd2084-d844-46f5-b7a4-128d31eeba8e,Aqueduct Ave & North St,Bronx,40.8604787,-73.9057169936,20,53,11.07,30,56.6,2.65
1862759079900600428,University Ave & Morton Pl,Bronx,40.85118155499655,-73.91465058978447,21,46,15.08,42,91.3,2.19
1861680889400379678,W 233 St & Albany Crescent,Bronx,40.87979,-73.90164,20,45,14.61,33,73.3,2.25
a2ef8ed2-6031-4049-b7dc-9838ef39889b,Dawson St & Intervale Ave,Bronx,40.819999,-73.897263,19,44,9.21,31,70.5,2.32
f8c242cd-da59-4f0e-afd6-832bbdd7d328,W 211 St & 10 Ave,Bronx,40.86709406268147,-73.9172950387001,20,42,15.29,35,83.3,2.1
d7632897-a6eb-4f8f-9ab2-c66426620fbf,E 134 St & Walnut Ave,Bronx,40.800425,-73.911034,16,42,12.73,27,64.3,2.63
fbaffdbd-dab5-4127-9bd5-36bf58093ea8,9 Ave & W 204 St,Bronx,40.86169883507865,-73.91855701804161,24,40,19.23,36,90.0,1.67
1861680383828308814,Marble Hill Ave & W 227 St,Bronx,40.87655,-73.90941,19,38,16.38,30,78.9,2.0
b713367c-3572-4225-b74a-9319ab537838,Sedgwick Ave & Hall of Fame Terrace,Bronx,40.859532,-73.913303,19,36,16.72,23,63.9,1.89
1861682960046954694,Bailey Ave & W 234 St,Bronx,40.88066,-73.90076,25,34,18.1,21,61.8,1.36
1864605659096685518,Kingsbridge Terrace & W 230 St,Bronx,40.87555,-73.90212,20,27,14.38,17,63.0,1.35
1861682702044957494,Tibbett Ave & W 234 St,Bronx,40.88324,-73.90587,21,24,23.52,17,70.8,1.14
ebce9ecb-9678-4c42-89d7-08e54bc6fe90,Faile St & Garrison Ave,Bronx,40.820578,-73.888271,19,23,18.38,16,69.6,1.21
2171903488884523500,Hull Ave & E 209 St,Bronx,40.87689,-73.87444,14,0,0.0,0,0.0,0.0
2177016940364559212,David Sheridan Plaza & Broadway,Bronx,40.90501,-73.89663,16,0,0.0,0,0.0,0.0
2177014969129222184,Henry Hudson Pkwy E & W 231 St,Bronx,40.88336,-73.91505,12,0,0.0,0,0.0,0.0
1950648049868542106,Bainbridge Ave & E 193 St,Bronx,40.86415477605928,-73.892452880543,27,0,0.0,0,0.0,0.0
2171903608969565866,Jerome Ave & E Mosholu Pkwy N,Bronx,40.88031,-73.88426,20,0,0.0,0,0.0,0.0
2171904223419888148,E Gun Hill Rd & Tryon Ave,Bronx,40.8802,-73.87697,21,0,0.0,0,0.0,0.0
2177016530523622712,Post Rd & W 251 St,Bronx,40.89561,-73.89793,12,0,0.0,0,0.0,0.0
2177016792070807878,Riverdale Ave & W 254 St,Bronx,40.90207,-73.90578,12,0,0.0,0,0.0,0.0
2171903221356328154,Bainbridge Ave & E 206 St,Bronx,40.8751,-73.87941,23,0,0.0,0,0.0,0.0
2127386600787000162,E 196 St & Valentine Ave,Bronx,40.86744,-73.89198,25,0,0.0,0,0.0,0.0
2171903733697659376,Steuben Ave & E 210 St,Bronx,40.87985,-73.88083,20,0,0.0,0,0.0,0.0
2007842506069575758,Verveelen Pl & Broadway,Bronx,40.87826,-73.90508,23,0,0.0,0,0.0,0.0
1934770108420609000,Fairmount Pl & Prospect Ave,Bronx,40.843099,-73.889927,18,0,0.0,0,0.0,0.0
2171903845366809074,Jerome Ave & E Gun Hill Rd,Bronx,40.88239,-73.88146,19,0,0.0,0,0.0,0.0
2177015593774932282,W 235 St & Independence Ave,Bronx,40.88641,-73.9144,18,0,0.0,0,0.0,0.0
2177016343889563330,Broadway & W 251 St,Bronx,40.89415,-73.89642,18,0,0.0,0,0.0,0.0
