stop_id,stop_name,lat,lon
300206,AVENUE U/BEDFORD AV,40.599886,-73.946201
300261,AVENUE U/BEDFORD AV,40.599919,-73.947094
300200,AVENUE U/CONEY ISLAND AV,40.5983,-73.960394
300267,AVENUE U/CONEY ISLAND AV,40.598317,-73.961653
300201,AVENUE U/E 13 ST,40.598604,-73.957872
300266,AVENUE U/E 13 ST,40.598651,-73.958664
308545,AVENUE U/E 16 ST,40.598844,-73.955258
300265,AVENUE U/E 16 ST,40.598941,-73.955956
300203,AVENUE U/E 18 ST,40.599121,-73.953147
300264,AVENUE U/E 18 ST,40.599168,-73.953925
300205,AVENUE U/E 23 ST,40.599673,-73.948116
300262,AVENUE U/E 23 ST,40.599714,-73.948955
300197,AVENUE U/E 4 ST,40.597556,-73.967379
300270,AVENUE U/E 5 ST,40.597712,-73.967156
300199,AVENUE U/E 8 ST,40.598081,-73.962629
300268,AVENUE U/E 8 ST,40.59812,-73.963443
300263,AVENUE U/OCEAN AV,40.599392,-73.951901
307836,AVENUE U/OCEAN AV,40.599393,-73.95062
300198,AVENUE U/OCEAN PKWY,40.597723,-73.965874
307097,AVENUE U/OCEAN PKWY,40.597904,-73.965078
307771,AVENUE X / BATCHELDER ST,40.594203,-73.938037
350199,AVENUE X / BEDFORD AV,40.593359,-73.945612
350067,AVENUE X / BEDFORD AV,40.593213,-73.945561
350247,AVENUE X / BROWN ST,40.594008,-73.93851
350069,AVENUE X / E 28 ST,40.593524,-73.942777
